fixture	input	status	matched_count	false_hits	missing_hits	missing_files	stale_files
F001	default	match	2	[]	[]	[]	[][]
F002	default	match	2	[]	[]	[]	[][]
F010	default	match	3	[]	[]	[]	[][]
F012	default	match	2	[]	[]	[]	[][]
F020	value_gt_0	mismatch	5	[]	[('cases/f020_if_both_outcomes/subject.gd', 4)]	[]	[][]
F020	value_lte_0	mismatch	4	[('cases/f020_if_both_outcomes/subject.gd', 5)]	[('cases/f020_if_both_outcomes/subject.gd', 4)]	[]	[][]
F021	value_gt_0	match	4	[]	[]	[]	[][]
F021	value_lte_0	mismatch	3	[('cases/f021_if_without_else/subject.gd', 5)]	[]	[]	[][]
F022	big	match	11	[]	[]	[]	[][]
F022	small	mismatch	10	[('cases/f022_elif_chain/subject.gd', 5)]	[]	[]	[][]
F022	zero	mismatch	9	[('cases/f022_elif_chain/subject.gd', 5)]	[('cases/f022_elif_chain/subject.gd', 7)]	[]	[][]
F022	none	mismatch	8	[('cases/f022_elif_chain/subject.gd', 5)]	[('cases/f022_elif_chain/subject.gd', 7), ('cases/f022_elif_chain/subject.gd', 9)]	[]	[][]
F023	both	match	7	[]	[]	[]	[][]
F023	only_a	mismatch	6	[('cases/f023_nested_decisions/subject.gd', 5)]	[]	[]	[][]
F023	neither	mismatch	6	[('cases/f023_nested_decisions/subject.gd', 4)]	[]	[]	[][]
F024	zero	mismatch	6	[('cases/f024_while_loop_iteration/subject.gd', 6)]	[]	[]	[][]
F024	one	match	7	[]	[]	[]	[][]
F024	many	match	7	[]	[]	[]	[][]
F025	zero	match	3	[]	[]	[]	[][]
F025	one	match	3	[]	[]	[]	[][]
F025	many	match	3	[]	[]	[]	[][]
F026	continue_only	mismatch	10	[('cases/f026_break_continue/subject.gd', 8)]	[]	[]	[][]
F026	break_only	mismatch	10	[('cases/f026_break_continue/subject.gd', 6)]	[]	[]	[][]
F026	neither	mismatch	9	[('cases/f026_break_continue/subject.gd', 6), ('cases/f026_break_continue/subject.gd', 8)]	[]	[]	[][]
F026	empty	mismatch	10	[('cases/f026_break_continue/subject.gd', 5)]	[]	[]	[][]
F027	one	mismatch	9	[]	[('cases/f027_match_fallback/subject.gd', 4)]	[]	[][]
F027	two	mismatch	8	[]	[('cases/f027_match_fallback/subject.gd', 4), ('cases/f027_match_fallback/subject.gd', 5)]	[]	[][]
F027	other	mismatch	7	[]	[('cases/f027_match_fallback/subject.gd', 4), ('cases/f027_match_fallback/subject.gd', 5), ('cases/f027_match_fallback/subject.gd', 7)]	[]	[][]
F029	positive	mismatch	3	[]	[('cases/f029_conditional_expression/subject.gd', 4)]	[]	[][]
F029	non_positive	mismatch	3	[]	[('cases/f029_conditional_expression/subject.gd', 4)]	[]	[][]
F030	and_evaluated	match	4	[]	[]	[]	[][]
F030	and_short_circuited	match	4	[]	[]	[]	[][]
F030	or_evaluated	match	4	[]	[]	[]	[][]
F030	or_short_circuited	match	4	[]	[]	[]	[][]
F011	default	match	2	[]	[]	[]	[][]
F013	all_complete	match	2	[]	[]	[]	[][]
F013	middle_statement_errors	match	2	[]	[]	[]	[][]
F014	early_return_taken	match	5	[]	[]	[]	[][]
F014	falls_through	mismatch	4	[('cases/f014_early_return/subject.gd', 4)]	[]	[]	[][]
F015	completes_normally	match	2	[]	[]	[]	[][]
F015	reached_but_not_completed	match	2	[]	[]	[]	[][]
F016	three_identical_calls	match	1	[]	[]	[]	[][]
F032	default	match	2	[]	[]	[]	[][]
F033	invoked	match	8	[]	[]	[]	[][]
F033	made_but_not_invoked	mismatch	7	[('cases/f033_lambda_and_callable/subject.gd', 10)]	[]	[]	[][]
F034	derived_dispatch	match	8	[]	[]	[]	[][]
F034	base_dispatch	mismatch	7	[('cases/f034_inheritance_and_super/subject.gd', 13)]	[]	[]	[][]
F035	default	mismatch	5	[]	[('cases/f035_property_getter_setter/subject.gd', 3)]	[]	[][]
F036	default	match	5	[]	[]	[]	[][]
F037	omitted_argument	match	1	[]	[]	[]	[][]
F037	supplied_argument	match	1	[]	[]	[]	[][]
F049	uses_preloaded	mismatch	5	[('cases/f049_load_vs_preload/subject.gd', 6)]	[]	[]	[][]
F049	uses_loaded	match	6	[]	[]	[]	[][]
