id	category	project	license_scope	documented_compatibility	capabilities	evidence	assessment	last_repository_push_utc	github_stars_snapshot	release_tag_observed	release_date_utc	repository_url	metadata_source	survey_date
gut	Tests	bitwes/Gut	MIT	GDScript; GUT 9.7.1 lists Godot 4.7.x	Assertions; doubles; parameterized tests; JUnit; editor and CLI	README + MIT file	Primary runner to retain	2026-08-18T14:28:41Z	2717	v9.7.1	2026-07-10T00:01:38Z	https://github.com/bitwes/Gut	https://api.github.com/repos/bitwes/Gut	2026-09-06
gdunit4	Tests	godot-gdunit-labs/gdUnit4	MIT	GDScript; C# via gdUnit4Net; 6.2.x lists through Godot 4.7.1	Scene runner; input/signal tests; fuzzing; mocks; JUnit/HTML	README + license	Primary second runner	2026-08-30T15:24:53Z	1223	v6.2.1	2026-08-20T11:42:50Z	https://github.com/godot-gdunit-labs/gdUnit4	https://api.github.com/repos/godot-gdunit-labs/gdUnit4	2026-09-06
wat	Tests	AlexDarigan/wat	MIT	README explicitly says not Godot 4 compatible	Legacy GDScript/C# testing; editor; CLI; JUnit	README + repository metadata	Historical only	2023-07-10T18:31:32Z	313	not recorded	not recorded	https://github.com/AlexDarigan/wat	https://api.github.com/repos/AlexDarigan/wat	2026-09-06
gdunit4net	Tests (.NET)	godot-gdunit-labs/gdUnit4Net	MIT	C#; exact Godot 4.7 matrix not established here	VSTest adapter; optional engine runtime; test-attribute Roslyn analyzer	README	Separate .NET ecosystem	2026-07-20T05:24:03Z	182	not recorded	not recorded	https://github.com/godot-gdunit-labs/gdUnit4Net	https://api.github.com/repos/godot-gdunit-labs/gdUnit4Net	2026-09-06
godottest	Tests (.NET)	chickensoft-games/GoDotTest	MIT	C# Godot 4; exact latest patch matrix not established here	CLI tests; VS Code debugging; coverage workflow	README	Separate .NET ecosystem	2026-08-18T21:45:27Z	151	not recorded	not recorded	https://github.com/chickensoft-games/GoDotTest	https://api.github.com/repos/chickensoft-games/GoDotTest	2026-09-06
gdmutant	Mutation testing	kphutt/gdmutant	MIT	Author reports release verification on Godot 4.7.0; GUT 9.7.1 and gdUnit4 6.1.3	GUT/gdUnit4/custom-command adapters; mutation reports; CI action	README; claimed verification not reproduced	Evaluate test-quality complement	2026-09-05T02:43:19Z	2	not recorded	not recorded	https://github.com/kphutt/gdmutant	https://api.github.com/repos/kphutt/gdmutant	2026-09-06
gdtools	Coverage / workflow	mansyar/gd-tools	MIT declared in pyproject.toml; standalone LICENSE not retrieved	Godot 4.5+ claimed; GUT	Line/branch claims; in-memory source instrumentation; HTML/LCOV/Cobertura	README + pyproject.toml + coverage.gd	Priority evaluation	2026-07-18T10:08:29Z	3	v0.4.0	2026-07-15T18:46:30Z	https://github.com/mansyar/gd-tools	https://api.github.com/repos/mansyar/gd-tools	2026-09-06
nano	Coverage	IgorBayerl/nano-coverage-godot	Apache-2.0	Godot 4; precise 4.7 support not established; alpha	Line coverage; LCOV; editor gutters; manual play; gdUnit4; disk/memory modes	README + lcov_writer.cpp + metadata	Priority evaluation; source build	2026-06-13T20:48:48Z	3	v0.1.1	2026-04-06T22:01:55Z	https://github.com/IgorBayerl/nano-coverage-godot	https://api.github.com/repos/IgorBayerl/nano-coverage-godot	2026-09-06
gdunitcoverage	Coverage	godot-gdunit-labs/gdUnit4-coverage	MIT editor plugin; closed-source GDExtension and engine patch	Godot 4.7; gdUnit4 6.2+; matching patched runner	Line/function/branch claims; LCOV; editor UI; 20-file public limit	README explicit component license and limits	Feature benchmark; not fully open foundation	2026-08-12T18:08:20Z	1	v0.1.4	2026-08-09T09:21:10Z	https://github.com/godot-gdunit-labs/gdUnit4-coverage	https://api.github.com/repos/godot-gdunit-labs/gdUnit4-coverage	2026-09-06
jamiecoverage	Coverage	jamie-pate/godot-code-coverage	MIT (repository declaration)	README says 3.5; main was upgraded to 4.4; 4.7 unknown	Line coverage; GUT and scene use; JSON merging; instrumentation	README + project.godot + upgrade commit	Evaluate despite stale README	2025-12-18T00:36:00Z	27	not recorded	not recorded	https://github.com/jamie-pate/godot-code-coverage	https://api.github.com/repos/jamie-pate/godot-code-coverage	2026-09-06
